timestamp,roll,pitch,yaw,norm_thrust
1691759714270111,-0.04726782,-0.07827766,-0.02332774,10.03203487
1691759714271325,-0.02816131,-0.10706928,-0.02335829,9.63474369
1691759714274775,0.02912977,0.02737205,-0.02485414,9.64668179
1691759714278816,0.02324120,0.06450085,-0.02555184,9.76354599
1691759714282496,0.03617531,0.10609436,-0.02678251,9.71389771
1691759714285190,-0.01945592,-0.12370324,-0.02360762,10.22361469
1691759714288822,-0.00226908,-0.06840654,-0.02362812,10.00646591
1691759714292526,-0.01204903,-0.03247897,-0.02386298,9.98382664
1691759714296453,-0.00009457,-0.01961442,-0.02377611,9.89140987
1691759714301075,-0.00741256,-0.01461811,-0.02345393,9.84178829
1691759714303194,0.00024849,-0.02886089,-0.02270162,9.81773376
1691759714307082,-0.00821256,-0.04798612,-0.02205258,10.00275612
1691759714310723,0.00524155,-0.03009059,-0.02162852,9.79653454
1691759714315378,-0.00368303,0.01116028,-0.02166561,9.81329441
1691759714318502,0.02437826,0.02872089,-0.02144284,9.73968983
1691759714322540,-0.01883970,-0.13373947,-0.01584150,10.31870747
1691759714325549,-0.01491667,-0.14063001,-0.01261569,10.07155800
1691759714329455,0.02882698,0.11546379,-0.01519271,9.56645679
1691759714333470,0.00796369,-0.09218256,-0.00930033,10.11954880
1691759714336106,-0.01046800,0.07625177,-0.01055570,9.85145664
1691759714339782,0.03275044,0.16764954,-0.01166968,9.49764061
1691759714343595,0.07972512,0.20307925,-0.01247135,9.55242157
1691759714347590,0.07379789,0.19281228,-0.01195738,9.62295151
1691759714351476,-0.02310899,-0.00647269,-0.00803628,10.29193401
1691759714354202,-0.01796355,-0.11145628,-0.00623639,10.31487179
1691759714357930,-0.00628302,-0.11634387,-0.00497607,10.02786350
1691759714361698,-0.05058056,0.03948507,-0.00629319,9.71415710
1691759714365600,0.06342768,0.20769380,-0.00939299,9.46430016
1691759714369669,0.03979915,0.11660974,-0.00726414,9.80721092
1691759714373298,0.03151722,0.12747210,-0.00707162,9.85279083
1691759714376080,-0.02616237,-0.10206535,-0.00332054,10.44745541
1691759714380053,0.02517620,0.00098252,-0.00376765,10.08727264
1691759714383472,0.02742353,0.05204868,-0.00418172,9.99161243
1691759714387624,0.03480239,0.02952318,-0.00343475,10.05067158
1691759714391521,0.03052620,0.03024002,-0.00292468,10.07798386
1691759714394356,0.00518719,0.02558510,-0.00252462,10.09925461
1691759714398102,0.02500404,0.01272629,-0.00208925,10.00047398
1691759714402537,0.03031427,0.00966141,-0.00160356,10.06571865
1691759714405035,-0.02157366,-0.00974812,-0.00087296,10.21679688
1691759714408893,0.00769592,-0.06629780,-0.00000440,9.77068424
1691759714412472,0.06570695,0.03237917,-0.00133520,9.84488010
1691759714416660,0.04900196,0.11122736,-0.00270007,9.89845943
1691759714420520,0.09360244,0.15219986,-0.00466055,9.95009613
1691759714424493,0.00276389,-0.08635464,0.00001173,10.41619301
1691759714426975,0.00733626,-0.02685414,-0.00057244,10.16561890
1691759714430672,0.00694132,-0.00709325,-0.00068080,10.16224670
1691759714434720,0.01690068,-0.01494594,-0.00034575,10.16143990
1691759714438696,0.01794606,0.00773311,-0.00042816,10.12326336
1691759714442665,0.01658911,0.00997424,-0.00015965,10.10442829
1691759714445160,0.03261797,-0.00483924,0.00043294,10.08524227
1691759714449008,0.02979669,0.00354024,0.00070350,10.09571648
1691759714452757,0.02919648,0.00431130,0.00101190,10.12840176
1691759714456790,0.03127952,-0.00237768,0.00146905,10.08817577
1691759714462306,-0.00302182,-0.02860911,0.00226457,10.17387486
1691759714463296,-0.00319805,0.00300769,0.00205650,10.04610634
1691759714467672,0.05883315,0.04367996,0.00105984,9.90298748
1691759714471598,0.08082890,0.07604595,-0.00031217,9.88244438
1691759714474250,-0.01649779,-0.13242778,0.00345421,10.56307411
1691759714477979,-0.00732530,-0.08947599,0.00309221,10.38005638
1691759714482050,0.01819891,-0.00296031,0.00200691,10.20983028
1691759714485627,0.01186474,0.00786855,0.00196236,10.21236324
1691759714489670,0.01233392,-0.01941570,0.00258800,10.17148590
1691759714493596,-0.02063589,-0.05960881,0.00340860,10.33829975
