timestamp,roll,pitch,yaw,norm_thrust
1691757638961232,0.00000000,0.00000000,0.00000000,0.00000000
1691757638971244,0.00000000,0.00000000,0.00000000,0.00000000
1691757638981229,0.00000000,0.00000000,0.00000000,0.00000000
1691757638991233,0.00000000,0.00000000,0.00000000,0.00000000
1691757639001272,0.00000000,0.00000000,0.00000000,0.00000000
1691757639011237,0.00000000,0.00000000,0.00000000,0.00000000
1691757639021257,0.00000000,0.00000000,0.00000000,0.00000000
1691757639033480,-0.01750839,-0.35832605,-0.16150931,11.27997971
1691757639037512,-0.03279720,-0.40216053,-0.16052802,11.33246231
1691757639041206,-0.02178031,-0.36933741,-0.16048902,11.28877354
1691757639045238,-0.01934822,-0.36065465,-0.16087003,11.32725906
1691757639047909,-0.01850433,-0.35806808,-0.16115174,11.32445145
1691757639051820,-0.00306478,-0.30291337,-0.16183998,11.30355072
1691757639055277,-0.01803236,-0.35605419,-0.16185077,11.36066341
1691757639059182,-0.01886157,-0.35826263,-0.16221604,11.36546803
1691757639064628,-0.01899447,-0.35925117,-0.16242531,11.40685654
1691757639066034,-0.01215930,-0.39157748,-0.16062845,11.41635609
1691757639070282,-0.01801409,-0.36327952,-0.16121568,11.40765095
1691757639074198,-0.02208332,-0.36459985,-0.16142255,11.44828224
1691757639078620,-0.01959124,-0.36388874,-0.16139045,11.45080280
1691757639084653,-0.02494938,-0.38322416,-0.16131324,11.49665356
1691757639084926,-0.03313931,-0.40326586,-0.15868652,11.51722431
1691757639090615,-0.02229211,-0.37018880,-0.15829809,11.49725628
1691757639093966,-0.01836396,-0.35794681,-0.15789561,11.52877140
1691757639096308,-0.02108575,-0.35056823,-0.15754348,11.52211857
1691757639098872,-0.02052001,-0.35405588,-0.15575819,11.52022648
1691757639102892,-0.01875501,-0.36290011,-0.14766392,11.58446312
1691757639106265,-0.01625321,-0.33204424,-0.14477229,11.55803299
1691757639110360,-0.02135587,-0.29765281,-0.14202335,11.50758362
1691757639114370,-0.02100108,-0.35121584,-0.13000749,11.61960316
1691757639117310,-0.01295279,-0.29249632,-0.12623657,11.55406094
1691757639120826,-0.01655150,-0.26813036,-0.12192776,11.50834179
1691757639126010,-0.01321874,-0.18143262,-0.11876123,11.33254337
1691757639129829,-0.01122444,-0.24467710,-0.11336931,11.43798733
1691757639133097,-0.00910943,-0.24410948,-0.10810190,11.36526203
1691757639136166,-0.00696144,-0.13598593,-0.10591803,11.06792164
1691757639139404,-0.00919154,-0.20976558,-0.09936224,11.09644508
1691757639142470,-0.02467881,-0.27007362,-0.09259851,10.93592739
1691757639146353,-0.02376803,-0.27048960,-0.08629176,10.94533634
1691757639150302,0.01597239,-0.17643325,-0.08126616,10.70792866
1691757639155384,0.00528170,-0.16276233,-0.07705685,10.59134865
1691757639157602,0.01235142,-0.10876437,-0.07380705,10.30441284
1691757639160765,0.00302149,-0.23440133,-0.06685851,10.60281277
1691757639164444,0.02427878,-0.13903058,-0.06324958,10.36765194
1691757639168414,-0.00757001,-0.17314680,-0.05826256,10.35643101
1691757639173338,-0.02949833,-0.16719212,-0.05341887,10.25589752
1691757639176187,0.02085922,-0.18990591,-0.04851724,10.13146019
1691757639179087,0.04419767,-0.11179183,-0.04551850,10.02657413
1691757639182586,0.04604690,-0.03604204,-0.04286380,9.74137402
1691757639194717,-0.00674388,-0.12082558,-0.03776691,10.09837055
1691757639194860,0.05081666,-0.09698346,-0.03414850,9.69083595
1691757639194997,0.05804511,0.03449488,-0.03355401,9.55550480
1691757639197277,0.05955173,0.05446626,-0.03148254,9.60002613
1691757639200757,0.10745984,0.02613148,-0.02985051,9.82059479
1691757639204573,0.08791023,-0.00329336,-0.02765389,9.73923397
1691757639208534,0.06334344,-0.00076808,-0.02605610,9.69279861
1691757639213216,0.04313198,-0.04330359,-0.02400988,9.73340416
1691757639215316,0.04154007,-0.09344932,-0.02179916,9.91058731
1691757639219418,0.02573535,-0.08811638,-0.02034496,9.86292934
1691757639224654,0.02692962,-0.08463094,-0.01877510,9.78531075
1691757639226245,0.03284278,-0.09013575,-0.01725564,9.77742386
1691757639229935,0.03440452,-0.05769420,-0.01620851,9.66983795
1691757639233319,0.03581383,-0.01382732,-0.01560323,9.73826599
1691757639239528,0.09769084,0.02570950,-0.01550358,9.67384529
1691757639241274,-0.01896675,-0.20676999,-0.01155847,10.09293747
1691757639245673,0.01436472,-0.11201086,-0.01051933,9.91187954
1691757639249217,0.02292674,-0.06657732,-0.00951593,9.75326538
1691757639253348,0.02911246,-0.03573856,-0.00851673,9.82379627
1691757639255846,0.01988819,-0.01101758,-0.00756481,9.77231121
1691757639264861,0.05529293,-0.02296869,-0.00611431,9.71655846
1691757639265046,0.04456557,-0.02018491,-0.00472939,9.72392082
1691757639266399,0.02586130,-0.00965682,-0.00378778,9.74646854
1691757639269788,-0.00290999,-0.03460618,-0.00234132,9.83219719
1691757639273452,0.03663095,-0.02787236,-0.00084567,9.66130924
1691757639277708,0.00273997,-0.02692688,0.00044318,9.81113815
1691757639283200,0.03136767,-0.00318596,0.00123729,9.73409176
1691757639288894,0.02898605,-0.00935641,0.00242561,9.52622509
1691757639289142,0.02549380,-0.02316651,0.00350454,9.64356613
1691757639291505,0.05065149,0.00708832,0.00373679,9.60396481
1691757639296407,0.06696688,0.03078850,0.00397476,9.58988762
1691757639299038,0.04777160,0.06188680,0.00446820,9.74652767
1691757639306372,0.05920192,0.02515144,0.00542520,9.66859245
1691757639306505,0.04878549,0.04993910,0.00570017,9.89844036
1691757639310361,0.04601802,0.08686149,0.00561656,9.69829464
1691757639316231,0.05165375,0.05530943,0.00656083,9.79383373
1691757639317415,0.04948850,0.03387064,0.00774365,9.85562801
1691757639320804,0.02145847,0.02184225,0.00842275,9.81987476
1691757639324894,0.02628007,0.03163692,0.00848305,9.70477390
1691757639328557,0.03175001,0.06737214,0.00821612,9.67770290
1691757639332710,0.02063299,0.03913711,0.00890104,9.83294582
1691757639335116,0.02530565,0.03964345,0.00884809,9.73193741
1691757639344296,0.03756167,0.05391104,0.00852199,9.76476192
1691757639344459,0.04385453,0.05105800,0.00865643,9.80742359
1691757639346671,0.03542050,0.09231667,0.00787319,9.66162872
1691757639350558,0.02213976,-0.04612692,0.01073649,9.96430779
1691757639354381,0.04791293,-0.02592427,0.01132276,9.83279228
1691757639358251,-0.01613740,0.00166603,0.01118510,10.16322231
1691757639361533,0.02062031,-0.09151096,0.01325006,10.02435493
1691757639364548,0.03396349,-0.05298306,0.01330838,9.88285828
1691757639368615,0.04473011,-0.00009391,0.01278359,9.80076981
1691757639372890,0.03142496,0.04685427,0.01216531,9.88560390
1691757639375494,0.03817883,0.04962174,0.01244348,9.83550930
1691757639379581,0.04750374,0.10635349,0.01136556,9.65381527
1691757639382291,0.04711617,0.06930466,0.01198744,9.79318428
1691757639386520,0.03852846,0.04936013,0.01236802,9.83775234
1691757639390596,0.00112462,0.06001323,0.01231289,9.84236622
1691757639394293,-0.01461929,0.02180134,0.01295353,9.97982216
1691757639397316,0.00699840,0.03948049,0.01270944,9.92043972
1691757639400780,-0.00815933,0.03204672,0.01302900,9.87316608
1691757639404606,0.02201511,0.04753394,0.01256467,9.84604168
1691757639408514,0.03097957,-0.01108362,0.01346007,9.60309315
1691757639411431,0.04250840,0.03950028,0.01216916,9.72761726
1691757639415762,0.07015008,0.11352374,0.00947447,9.72769833
1691757639419537,0.00625668,0.01230168,0.01113802,9.98553562
1691757639425123,0.01594957,-0.05375148,0.01230882,10.05025959
1691757639428140,0.01310481,0.03120176,0.01024723,9.88573074
1691757639431164,0.04377951,0.03424002,0.00973742,9.88886166
1691757639434707,0.03152201,0.07409993,0.00889740,9.97646999
1691757639443651,0.01935495,0.06236362,0.00907134,9.95734882
1691757639443804,0.02161465,0.05984546,0.00880698,9.95753193
1691757639444269,0.01711821,0.06919090,0.00842992,9.99536705
1691757639447725,0.01469659,0.03487265,0.00884150,9.93428230
1691757639452121,0.01863264,0.03862473,0.00827895,9.88200188
1691757639455798,-0.01391006,-0.12807211,0.01150050,10.23404217
1691757639460054,-0.03825308,-0.02622814,0.00950971,10.02685070
1691757639463460,0.00027222,-0.03311413,0.00911189,9.55436897
1691757639466445,0.03476093,0.09508600,0.00571466,9.66486073
1691757639469744,0.02872829,0.14580002,0.00379772,9.73912525
1691757639474128,-0.06588247,-0.21204606,0.01064355,10.44373798
1691757639480448,0.01015663,0.04653117,0.00639624,9.98240185
